rslssslsr,9,4,5,3,4,1.666667,1,0.5555556,0.7444444
rslsssllrrs,11,6,5,3,3,1.666667,2,0.4545455,0.5606061
rslsssllrsrrl,13,8,5,3,4,1.666667,2,0.3846154,0.525641
rslsssllrssrrsl,15,8,7,4,5,1.75,1.6,0.4666667,0.6533333
rslsssllrslrrsrsl,17,10,7,5,6,1.4,1.666667,0.4117647,0.4769935
rslsssllrslsrrssrsl,19,10,9,6,7,1.5,1.428571,0.4736842,0.5796993
rslsssllrslssrrsssrsl,21,10,11,6,7,1.833333,1.428571,0.5238096,-1
rslsssllrsllrrsrssrsl,21,12,9,6,7,1.5,1.714286,0.4285714,-1
rslsssllrsllrrlrrsssrsl,23,14,9,5,6,1.8,2.333333,0.3913043,-1
rslsssllrsllsrrssrssrsl,23,12,11,7,8,1.571429,1.5,0.4782609,-1
rslsssllrsllsrrslrrsssrsl,25,14,11,7,8,1.571429,1.75,0.44,-1
rslsssllrlrrsrl,15,10,5,3,4,1.666667,2.5,0.3333333,0.4333333
rslsssllrlrrlrrsl,17,12,5,3,4,1.666667,3,0.2941177,0.3470588
rslsssllrlrsrrlrl,17,12,5,3,4,1.666667,3,0.2941177,0.3470588
rslsssllrlrsrsrsl,17,10,7,5,6,1.4,1.666667,0.4117647,0.4769935
rslsssllrlrlrrsrlrl,19,14,5,3,4,1.666667,3.5,0.2631579,0.2649123
rslsssllrlrlrrssrsl,19,12,7,4,5,1.75,2.4,0.368421,0.4975438
rslsssllrlrlsrrssrlrl,21,14,7,4,5,1.75,2.8,0.3333333,-1
rslsssllrlrlsrrsssrsl,21,12,9,5,6,1.8,2,0.4285714,-1
rslsssllrlsrrssrl,17,10,7,4,5,1.75,2,0.4117647,0.572549
rslsssllrlsrrslrrsl,19,12,7,5,6,1.4,2,0.368421,0.4108772
rslsssllrlsrrlrrlrl,19,14,5,3,4,1.666667,3.5,0.2631579,0.2649123
rslsssllrlsrrlrsrsl,19,12,7,5,6,1.4,2,0.368421,0.4108772
rslsssllrlsrsrrlsrl,19,12,7,5,6,1.4,2,0.368421,0.4108772
rslsssllrlsrsrrllrrsl,21,14,7,5,6,1.4,2.333333,0.3333333,-1
rslsssllrlsrsrsrlrl,19,12,7,5,6,1.4,2,0.368421,0.4108772
rslsssllrlsrsrssrsl,19,10,9,6,7,1.5,1.428571,0.4736842,0.5796993
rslsssllrlsrlrrsrlsrl,21,14,7,5,6,1.4,2.333333,0.3333333,-1
rslsssllrlsrlrrsrllrrsl,23,16,7,5,6,1.4,2.666667,0.3043478,-1
rslsssllrlsrlrrssrlrl,21,14,7,4,5,1.75,2.8,0.3333333,-1
rslsssllrlsrlrrsssrsl,21,12,9,5,6,1.8,2,0.4285714,-1
rslsssllrllrrsrssrl,19,12,7,4,5,1.75,2.4,0.368421,0.4975438
rslsssllrllrrsrslrrsl,21,14,7,5,6,1.4,2.333333,0.3333333,-1
rslsssllrllrrsrlrrlrl,21,16,5,3,4,1.666667,4,0.2380952,-1
rslsssllrllrrsrlrsrsl,21,14,7,5,6,1.4,2.333333,0.3333333,-1
rslsssllrllrrssrrlsrl,21,14,7,4,5,1.75,2.8,0.3333333,-1
rslsssllrllrrssrrllrrsl,23,16,7,4,5,1.75,3.2,0.3043478,-1
rslsssllrllrrssrsrlrl,21,14,7,4,5,1.75,2.8,0.3333333,-1
rslsssllrllrrssrssrsl,21,12,9,5,6,1.8,2,0.4285714,-1
rslsssllrllrrslrrsrlsrl,23,16,7,5,6,1.4,2.666667,0.3043478,-1
rslsssllrllrrslrrsrllrrsl,25,18,7,5,6,1.4,3,0.28,-1
rslsssllrllrrslrrssrlrl,23,16,7,4,5,1.75,3.2,0.3043478,-1
rslsssllrllrrslrrsssrsl,23,14,9,5,6,1.8,2.333333,0.3913043,-1
rslsssllsrrss,13,6,7,4,4,1.75,1.5,0.5384616,0.7025641
rslsssllsrrlrrl,15,10,5,3,4,1.666667,2.5,0.3333333,0.4333333
rslsssllsrrlsrrsl,17,10,7,5,6,1.4,1.666667,0.4117647,0.4769935
rslsssllsrrllrrsrsl,19,12,7,5,6,1.4,2,0.368421,0.4108772
rslsssllsrrllsrrssrsl,21,12,9,6,7,1.5,1.714286,0.4285714,-1
rslsssllsrrllssrrsssrsl,23,12,11,6,7,1.833333,1.714286,0.4782609,-1
rslsssllsrsrrls,15,8,7,5,5,1.4,1.6,0.4666667,0.5133333
rslsssllsrsrsrl,15,8,7,5,6,1.4,1.333333,0.4666667,0.5488889
rslsssllsrsrlrrsl,17,10,7,5,6,1.4,1.666667,0.4117647,0.4769935
rslsssllsrssrrsls,17,8,9,6,6,1.5,1.333333,0.5294118,0.6202614
rslsssllsrssrrlrl,17,10,7,4,5,1.75,2,0.4117647,0.572549
rslsssllsrssrsrrlls,19,10,9,6,6,1.5,1.666667,0.4736842,0.5479532
rslsssllsrssrsrsl,17,8,9,6,7,1.5,1.142857,0.5294118,0.6456583
rslsssllsrslrrsrsls,19,10,9,7,7,1.285714,1.428571,0.4736842,0.493985
rslsssllsrslrrsrlrl,19,12,7,5,6,1.4,2,0.368421,0.4108772
rslsssllsrslrrssrrlls,21,12,9,6,6,1.5,2,0.4285714,-1
rslsssllsrslrrssrsl,19,10,9,6,7,1.5,1.428571,0.4736842,0.5796993
rslsssllsrslsrrssrsls,21,10,11,8,8,1.375,1.25,0.5238096,-1
rslsssllsrslsrrssrlrl,21,12,9,6,7,1.5,1.714286,0.4285714,-1
rslsssllsrslsrrsssrrlls,23,12,11,7,7,1.571429,1.714286,0.4782609,-1
rslsssllsrslsrrsssrsl,21,10,11,7,8,1.571429,1.25,0.5238096,-1
rslsssllsrlrrsrls,17,10,7,5,5,1.4,2,0.4117647,0.432549
rslsssllsrlrrssrl,17,10,7,4,5,1.75,2,0.4117647,0.572549
rslsssllsrlrrslrrsl,19,12,7,5,6,1.4,2,0.368421,0.4108772
rslsssllsrlrrlrrsls,19,12,7,5,5,1.4,2.4,0.368421,0.3575438
rslsssllsrlrrlrrlrl,19,14,5,3,4,1.666667,3.5,0.2631579,0.2649123
rslsssllsrlrrlrsrrlls,21,14,7,5,5,1.4,2.8,0.3333333,-1
rslsssllsrlrrlrsrsl,19,12,7,5,6,1.4,2,0.368421,0.4108772
rslsssllsrlrsrrlrls,19,12,7,5,5,1.4,2.4,0.368421,0.3575438
rslsssllsrlrsrrlsrl,19,12,7,5,6,1.4,2,0.368421,0.4108772
rslsssllsrlrsrrllrrsl,21,14,7,5,6,1.4,2.333333,0.3333333,-1
rslsssllsrlrsrsrsls,19,10,9,7,7,1.285714,1.428571,0.4736842,0.493985
rslsssllsrlrsrsrlrl,19,12,7,5,6,1.4,2,0.368421,0.4108772
