nnnnn,nnnnn,nnnnT,nnnnu,nnTlb
nnnnn,nnnnn,nnnnT,nnTtu,nnuBb
nnnnn,nnnnn,nnnnT,nTltu,nBtBb
nnnnn,nnnnn,nnnnT,Tlltu,BltBb
nnnnn,nnnnn,TtnnT,uBltu,BltBb
nnnnn,Ttnnn,uunnT,uBltu,BltBb
Ttnnn,uunnn,uunnT,uBltu,BltBb
Tltnn,uTbnn,uunnT,uBltu,BltBb
Tlltn,uTlbn,uunnT,uBltu,BltBb
Tlllt,uTllb,uunnT,uBltu,BltBb
Tlltn,uTtun,uuBbT,uBltu,BltBb
Tlllt,uTtTb,uuBbT,uBltu,BltBb
nnnnn,Tltnn,uTbnT,uBltu,BltBb
Ttnnn,uBtnn,uTbnT,uBltu,BltBb
nTtnn,Tbunn,uTbnT,uBltu,BltBb
Tltnn,ununn,uTbnT,uBltu,BltBb
nTltn,TbTbn,uTbnT,uBltu,BltBb
Tlltn,unTbn,uTbnT,uBltu,BltBb
nTllt,TbTlb,uTbnT,uBltu,BltBb
Tlllt,unTlb,uTbnT,uBltu,BltBb
nnnnn,Tlltn,uTlbT,uBltu,BltBb
Ttnnn,uBltn,uTlbT,uBltu,BltBb
nTtnn,TbBtn,uTlbT,uBltu,BltBb
Tltnn,unBtn,uTlbT,uBltu,BltBb
nnTtn,Tlbun,uTlbT,uBltu,BltBb
TtTtn,uBbun,uTlbT,uBltu,BltBb
nTltn,Tbnun,uTlbT,uBltu,BltBb
Tlltn,unnun,uTlbT,uBltu,BltBb
nnTlt,TlbTb,uTlbT,uBltu,BltBb
TtTlt,uBbTb,uTlbT,uBltu,BltBb
nTllt,TbnTb,uTlbT,uBltu,BltBb
Tlllt,unnTb,uTlbT,uBltu,BltBb
nnnnn,nnnnn,nTtnT,nuBtu,nBtBb
nnnnn,nnnnn,nTtnT,TbBtu,BltBb
nnnnn,nnnnn,TltnT,BtBtu,nBtBb
nnnnn,nnnnn,TltnT,unBtu,BltBb
nnnnn,Ttnnn,uBtnT,BtBtu,nBtBb
nnnnn,Ttnnn,uBtnT,unBtu,BltBb
Ttnnn,uunnn,uBtnT,BtBtu,nBtBb
Ttnnn,uunnn,uBtnT,unBtu,BltBb
Tltnn,uTbnn,uBtnT,BtBtu,nBtBb
Tltnn,uTbnn,uBtnT,unBtu,BltBb
Tlltn,uTlbn,uBtnT,BtBtu,nBtBb
